id,cena,regija,upravna,obcina,leto_gradnje,leto_adaptacije,povrsina,gradnja
6467192,480000.0,LJ-mesto,Lj. Moste-Polje,Ljubljana,2022,,187.99,samostojna
6387983,275000.0,Gorenjska,Radovljica,Bled,1800,1950,400.0,samostojna
6462270,180000.0,Gorenjska,Radovljica,Bohinj,1892,1950,188.7,vrstna
6506148,680000.0,LJ-mesto,Lj. Šiška,Ljubljana,1975,,385.0,samostojna
6475865,239800.0,Savinjska,Celje,Celje,2022,,139.4,dvojček
6506863,200000.0,Notranjska,Cerknica,Cerknica,1973,,114.0,samostojna
6517023,790000.0,LJ-mesto,Lj. Bežigrad,Ljubljana,1996,2018,309.7,vrstna
6512304,409000.0,LJ-okolica,Domžale,Domžale,,2010,215.1,samostojna
6341473,426724.2,LJ-okolica,Vrhnika,Vrhnika,2022,,155.0,vrstna
6512313,60000.0,Podravska,Maribor,Rače - Fram,2023,,125.0,samostojna
6470341,785540.0,LJ-mesto,Lj. Vič-Rudnik,Ljubljana,2022,,216.4,dvojček
6458747,2250000.0,LJ-okolica,Domžale,Domžale,1957,,440.0,samostojna
6511658,265000.0,LJ-okolica,"Lj. J&Z del (Vič, Rudnik)",Brezovica,2024,,145.0,dvojček
6515473,577000.0,J. Primorska,Koper,Koper,1990,2020,330.0,samostojna
6496428,990000.0,J. Primorska,Koper,Koper,1985,2018,300.0,samostojna
6517901,350000.0,Posavska,Krško,Krško,1988,2020,250.0,samostojna
6494286,705000.0,LJ-mesto,Lj. Bežigrad,Ljubljana,2008,,291.46,samostojna
6514531,409000.0,LJ-mesto,Lj. Bežigrad,Ljubljana,1965,,122.4,vrstna
6492185,1150000.0,LJ-mesto,Lj. Center,Ljubljana,1914,2000,233.0,samostojna
6517414,575000.0,LJ-mesto,Lj. Vič-Rudnik,Ljubljana,1967,2019,342.0,samostojna
6495168,268000.0,LJ-mesto,Lj. Vič-Rudnik,Ljubljana,1934,1998,63.9,trojček
6477021,253000.0,Podravska,Ptuj,Trnovska vas,2021,,173.1,samostojna
6514460,295000.0,LJ-okolica,Logatec,Logatec,1952,,259.6,samostojna
6512816,324000.0,Gorenjska,Kranj,Kranj,1961,2012,164.8,dvostanovanjska
6502886,189000.0,Podravska,Maribor,Rače - Fram,1958,2002,297.9,samostojna
6464894,189000.0,Podravska,Pesnica,Pesnica,2007,,276.0,samostojna
6379292,195000.0,Notranjska,Postojna,Postojna,1779,,600.0,samostojna
6370331,430000.0,LJ-mesto,Lj. Šiška,Ljubljana,1973,,167.0,samostojna
6494610,320000.0,J. Primorska,Piran,Piran,1890,,94.0,samostojna
6485604,360000.0,LJ-okolica,Domžale,Lukovica,2022,,114.0,samostojna
6467192,480000.0,LJ-mesto,Lj. Moste-Polje,Ljubljana,2022,,187.99,samostojna
6387983,275000.0,Gorenjska,Radovljica,Bled,1800,1950,400.0,samostojna
6462270,180000.0,Gorenjska,Radovljica,Bohinj,1892,1950,188.7,vrstna
6506148,680000.0,LJ-mesto,Lj. Šiška,Ljubljana,1975,,385.0,samostojna
6475865,239800.0,Savinjska,Celje,Celje,2022,,139.4,dvojček
6506863,200000.0,Notranjska,Cerknica,Cerknica,1973,,114.0,samostojna
6517023,790000.0,LJ-mesto,Lj. Bežigrad,Ljubljana,1996,2018,309.7,vrstna
6512304,409000.0,LJ-okolica,Domžale,Domžale,,2010,215.1,samostojna
6341473,426724.2,LJ-okolica,Vrhnika,Vrhnika,2022,,155.0,vrstna
6512313,60000.0,Podravska,Maribor,Rače - Fram,2023,,125.0,samostojna
6470341,785540.0,LJ-mesto,Lj. Vič-Rudnik,Ljubljana,2022,,216.4,dvojček
